Numero_Dossier,Date_Lecture,Date_Audience,Avocat_Requerant,Type_Decision,Type_Recours,Formation_Jugement
453424,10/11/2021,21/10/2021,"SCP PIWNICA, MOLINIE",Décision,, 7ème chambre jugeant seule
453438,10/11/2021,14/10/2021,,Décision,Excès de pouvoir, 5ème chambre jugeant seule
453514,19/11/2021,21/10/2021,,Décision,Plein contentieux,10ème chambre jugeant seule
453522,04/11/2021,30/09/2021,,Décision,Plein contentieux,10ème chambre jugeant seule
453534,18/11/2021,08/10/2021,LE PRADO,Décision,Autres, 4ème chambre jugeant seule
453539,04/11/2021,30/09/2021,"SCP NICOLAY, DE LANOUVELLE, HANNOTIN",Décision,Excès de pouvoir,10ème chambre jugeant seule
453555,10/11/2021,21/10/2021,,Décision,Plein contentieux, 7ème chambre jugeant seule
453579,22/11/2021,21/10/2021,OCCHIPINTI,Décision,Plein contentieux, 8ème chambre jugeant seule
453581,19/11/2021,21/10/2021,"SCP PIWNICA, MOLINIE",Décision,Plein contentieux,10ème chambre jugeant seule
453612,22/11/2021,21/10/2021,,Décision,Plein contentieux, 3ème chambre jugeant seule
453758,04/11/2021,30/09/2021,,Décision,Plein contentieux,10ème chambre jugeant seule
453772,23/11/2021,15/10/2021,,Décision,Plein contentieux, 4ème chambre jugeant seule
453798,22/11/2021,09/11/2021,,Décision,Plein contentieux, 8ème chambre jugeant seule
453907,10/11/2021,21/10/2021,"SCP CELICE, TEXIDOR, PERIER",Décision,, 7ème chambre jugeant seule
453941,22/11/2021,21/10/2021,BLANCHETIER,Décision,Plein contentieux, 8ème chambre jugeant seule
453976,16/11/2021,14/10/2021,GOLDMAN,Décision,Plein contentieux, 6ème chambre jugeant seule
454069,04/11/2021,30/09/2021,DEPORCQ DOMINIQUE;MIGNOT AMAURY,Décision,Plein contentieux,10ème chambre jugeant seule
454079,19/11/2021,04/11/2021,CORLAY,Décision,Excès de pouvoir, 2ème chambre jugeant seule
454088,10/11/2021,21/10/2021,BALAT,Décision,Excès de pouvoir, 7ème chambre jugeant seule
454105,15/11/2021,22/10/2021,SULLIVAN ET CROMWELL,Décision,Excès de pouvoir,8ème et 3ème chambres réunies
454125,15/11/2021,22/10/2021,SCP DUHAMEL - RAMEIX - GURY- MAITRE,Décision,Autres,8ème et 3ème chambres réunies
454183,22/11/2021,21/10/2021,SOLTNER,Décision,Excès de pouvoir, 3ème chambre jugeant seule
454334,19/11/2021,15/10/2021,"SCP MATUCHANSKY, POUPOT, VALDELIEVRE",Décision,Plein contentieux, 4ème chambre jugeant seule
454639,18/11/2021,25/10/2021,,Décision,Excès de pouvoir,10ème chambre jugeant seule
454699,19/11/2021,20/10/2021,,Décision,Autres,1ère - 4ème chambres réunies
454700,22/11/2021,21/10/2021,"SCP PIWNICA, MOLINIE",Décision,Plein contentieux, 3ème chambre jugeant seule
454796,16/11/2021,14/10/2021,,Décision,Excès de pouvoir, 6ème chambre jugeant seule
454824,22/11/2021,21/10/2021,,Décision,Excès de pouvoir, 3ème chambre jugeant seule
454927,08/11/2021,13/10/2021,,Décision,Excès de pouvoir,10ème et 9ème chambres réunies
455012,19/11/2021,05/11/2021,,Décision,Plein contentieux,1ère chambre jugeant seule
455101,04/11/2021,30/09/2021,,Décision,Excès de pouvoir,10ème chambre jugeant seule
455115,10/11/2021,14/10/2021,"SCP DELAMARRE, JEHANNIN",Décision,Excès de pouvoir, 5ème chambre jugeant seule
455155,24/11/2021,15/11/2021,"THOUVENIN, COUDRAY, GREVY",Décision,Excès de pouvoir,4ème et 1ère chambres réunies
455235,24/11/2021,08/10/2021,,Décision,Excès de pouvoir, 4ème chambre jugeant seule
455327,04/11/2021,30/09/2021,SCP BUK LAMENT - ROBILLOT,Décision,Excès de pouvoir,10ème chambre jugeant seule
455421,08/11/2021,13/10/2021,SEBAN ET ASSOCIES,Décision,Autres,10ème et 9ème chambres réunies
455529,04/11/2021,30/09/2021,"SCP DELAMARRE, JEHANNIN",Décision,Excès de pouvoir,10ème chambre jugeant seule
455530,19/11/2021,21/10/2021,PRIGENT,Décision,Excès de pouvoir,10ème chambre jugeant seule
455891,22/11/2021,09/11/2021,QUINN EMANUEL URQUHART & SULLIVAN UK LLP (PARIS),Décision,Autres, 8ème chambre jugeant seule
455929,19/11/2021,15/10/2021,SCP MELKA-PRIGENT-DRUSCH,Décision,Autres, 4ème chambre jugeant seule
456139,10/11/2021,13/10/2021,SARL DELVOLVE ET TRICHET,Décision,Excès de pouvoir,10ème et 9ème chambres réunies
456639,19/11/2021,15/10/2021,"THOUVENIN, COUDRAY, GREVY",Décision,Autres, 4ème chambre jugeant seule
456924,22/11/2021,21/10/2021,"SCP SEVAUX, MATHONNET",Décision,Excès de pouvoir,Juge des référés
457053,24/11/2021,19/10/2021,,Décision,Excès de pouvoir,Juge des référés
457346,02/11/2021,22/10/2021,SCP GUÉRIN - GOUGEON,Décision,Excès de pouvoir,Juge des référés
457360,19/11/2021,21/10/2021,,Décision,Excès de pouvoir,10ème chambre jugeant seule
457399,16/11/2021,08/11/2021,"SCP OHL, VEXLIARD",Décision,Excès de pouvoir,Juge des référés
457429,08/11/2021,,,Décision,Excès de pouvoir,
457441,08/11/2021,25/10/2021,"SCP FABIANI, LUC-THALER, PINATEL",Décision,Excès de pouvoir,Juge des référés
457445,05/11/2021,,,Décision,Excès de pouvoir,
457559,02/11/2021,26/10/2021,"SCP GADIOU, CHEVALLIER",Décision,Excès de pouvoir,Juge des référés
457686,16/11/2021,,,Décision,Excès de pouvoir,
457687,16/11/2021,04/11/2021,"SCP GATINEAU, FATTACCINI, REBEYROL",Décision,Excès de pouvoir,Juge des référés
457726,19/11/2021,16/11/2021,,Décision,Excès de pouvoir,Juge des référés
457743,16/11/2021,12/11/2021,BOURREL,Décision,Plein contentieux,Juge des référés
457748,08/11/2021,,,Décision,Plein contentieux,
457833,04/11/2021,,,Décision,Excès de pouvoir,
457883,04/11/2021,28/10/2021,CHARLOT CHRISTINE,Décision,Plein contentieux,Juge des référés
457924,05/11/2021,,,Décision,Excès de pouvoir,
457995,10/11/2021,,,Décision,Plein contentieux,
458008,23/11/2021,18/11/2021,"SARL MEIER-BOURDEAU, LECUYER ET ASSOCIES",Décision,Excès de pouvoir,Juge des référés
458056,19/11/2021,12/11/2021,,Décision,Plein contentieux,Juge des référés
458085,16/11/2021,,,Décision,Excès de pouvoir,
458092,22/11/2021,,OGIER,Décision,Excès de pouvoir,
458104,19/11/2021,,"SCP OHL, VEXLIARD",Décision,Plein contentieux,
458107,24/11/2021,15/11/2021,"SCP PIWNICA, MOLINIE",Décision,Excès de pouvoir,Juge des référés
458178,16/11/2021,,,Décision,Excès de pouvoir,
